Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,FC Barcelona,38,29,4,5,112:29,83,91
2,Real Madrid,38,28,6,4,110:34,76,90
3,Atlético Madrid,38,28,4,6,63:18,45,88
4,Villarreal,38,18,10,10,44:35,9,64
5,Athletic,38,18,8,12,58:45,13,62
6,Celta de Vigo,38,17,9,12,51:59,-8,60
7,Sevilla FC,38,14,10,14,51:50,1,52
8,Málaga CF,38,12,12,14,38:35,3,48
9,Real Sociedad,38,13,9,16,45:48,-3,48
10,Real Betis,38,11,12,15,34:52,-18,45
11,UD Las Palmas,38,12,8,18,45:53,-8,44
12,Valencia,38,11,11,16,46:48,-2,44
13,Espanyol,38,12,7,19,40:74,-34,43
14,SD Eibar,38,11,10,17,49:61,-12,43
15,Dep. La Coruña,38,8,18,12,45:61,-16,42
16,Granada CF,38,10,9,19,46:69,-23,39
17,Sporting Gijón,38,10,9,19,40:62,-22,39
18,Rayo Vallecano,38,9,11,18,52:73,-21,38
19,Getafe,38,9,9,20,37:67,-30,36
20,Levante,38,8,8,22,37:70,-33,32
