Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Madrid,42,27,11,4,85:36,49,92
2,FC Barcelona,42,28,6,8,102:48,54,90
3,Dep. La Coruña,42,21,14,7,57:30,27,77
4,Real Betis,42,21,14,7,81:46,35,77
5,Atlético Madrid,42,20,11,11,76:64,12,71
6,Athletic,42,16,16,10,72:57,15,64
7,Real Valladolid,42,18,10,14,57:46,11,64
8,Real Sociedad,42,18,9,15,50:47,3,63
9,CD Tenerife,42,15,11,16,69:57,12,56
10,Valencia,42,15,11,16,63:59,4,56
11,SD Compostela,42,13,14,15,52:65,-13,53
12,Espanyol,42,14,9,19,51:57,-6,51
13,Racing,42,11,17,14,52:54,-2,50
14,Real Zaragoza,42,12,14,16,58:66,-8,50
15,Sporting Gijón,42,13,11,18,45:63,-18,50
16,Celta de Vigo,42,12,13,17,51:54,-3,49
17,Real Oviedo,42,12,12,18,49:65,-16,48
18,Rayo Vallecano,42,13,6,23,43:62,-19,45
19,CF Extremadura,42,11,11,20,35:64,-29,44
20,Sevilla FC,42,12,7,23,50:69,-19,43
21,Hércules CF,42,12,5,25,40:77,-37,41
22,CD Logroñés,42,9,6,27,33:85,-52,33
