Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,FC Barcelona,38,28,9,1,99:29,70,93
2,Atlético Madrid,38,23,10,5,58:22,36,79
3,Real Madrid,38,22,10,6,94:44,50,76
4,Valencia,38,22,7,9,65:38,27,73
5,Villarreal,38,18,7,13,57:50,7,61
6,Real Betis,38,18,6,14,60:61,-1,60
7,Sevilla FC,38,17,7,14,49:58,-9,58
8,Getafe,38,15,10,13,42:33,9,55
9,SD Eibar,38,14,9,15,44:50,-6,51
10,Girona,38,14,9,15,50:59,-9,51
11,Espanyol,38,12,13,13,36:42,-6,49
12,Celta de Vigo,38,13,10,15,59:60,-1,49
13,Real Sociedad,38,14,7,17,66:59,7,49
14,Alavés,38,15,2,21,40:50,-10,47
15,Levante,38,11,13,14,44:58,-14,46
16,Athletic,38,10,13,15,41:49,-8,43
17,CD Leganés,38,12,7,19,34:51,-17,43
18,Dep. La Coruña,38,6,11,21,38:76,-38,29
19,UD Las Palmas,38,5,7,26,24:74,-50,22
20,Málaga CF,38,5,5,28,24:61,-37,20
