Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,FC Barcelona,38,25,7,6,80:35,45,82
2,Real Madrid,38,20,10,8,70:40,30,70
3,Valencia,38,19,12,7,58:33,25,69
4,CA Osasuna,38,21,5,12,49:43,6,68
5,Sevilla FC,38,20,8,10,54:39,15,68
6,Celta de Vigo,38,20,4,14,45:33,12,64
7,Villarreal,38,14,15,9,50:39,11,57
8,Dep. La Coruña,38,15,10,13,47:45,2,55
9,Getafe,38,15,9,14,54:49,5,54
10,Atlético Madrid,38,13,13,12,45:37,8,52
11,Real Zaragoza,38,10,16,12,46:51,-5,46
12,Athletic,38,11,12,15,40:46,-6,45
13,RCD Mallorca,38,10,13,15,37:51,-14,43
14,Real Betis,38,10,12,16,34:51,-17,42
15,Espanyol,38,10,11,17,36:56,-20,41
16,Real Sociedad,38,11,7,20,48:65,-17,40
17,Racing,38,9,13,16,36:49,-13,40
18,Alavés,38,9,12,17,35:54,-19,39
19,Cádiz CF,38,8,12,18,36:52,-16,36
20,Málaga CF,38,5,9,24,36:68,-32,24
