Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,FC Barcelona,38,26,9,3,90:36,54,87
2,Atlético Madrid,38,22,10,6,55:29,26,76
3,Real Madrid,38,21,5,12,63:46,17,68
4,Valencia,38,15,16,7,51:35,16,61
5,Getafe,38,15,14,9,48:35,13,59
6,Sevilla FC,38,17,8,13,62:47,15,59
7,Espanyol,38,14,11,13,48:50,-2,53
8,Athletic,38,13,14,11,41:45,-4,53
9,Real Sociedad,38,13,11,14,45:46,-1,50
10,Real Betis,38,14,8,16,44:52,-8,50
11,Alavés,38,13,11,14,39:50,-11,50
12,SD Eibar,38,11,14,13,46:50,-4,47
13,CD Leganés,38,11,12,15,37:43,-6,45
14,Villarreal,38,10,14,14,49:52,-3,44
15,Levante,38,11,11,16,59:66,-7,44
16,Real Valladolid,38,10,11,17,32:51,-19,41
17,Celta de Vigo,38,10,11,17,53:62,-9,41
18,Girona,38,9,10,19,37:53,-16,37
19,SD Huesca,38,7,12,19,43:65,-22,33
20,Rayo Vallecano,38,8,8,22,41:70,-29,32
