Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Marseille,38,23,9,6,69:36,33,78
2,Olympique Lyon,38,20,12,6,64:38,26,72
3,AJ Auxerre,38,20,11,7,42:29,13,71
4,LOSC Lille,38,21,7,10,72:40,32,70
5,Montpellier,38,20,9,9,50:40,10,69
6,G. Bordeaux,38,19,7,12,58:40,18,64
7,FC Lorient,38,16,10,12,54:42,12,58
8,Monaco,38,15,10,13,39:45,-6,55
9,Stade Rennais,38,14,11,13,52:41,11,53
10,Valenciennes FC,38,14,10,14,50:50,0,52
11,Lens,38,12,12,14,40:44,-4,48
12,AS Nancy,38,13,9,16,46:53,-7,48
13,Paris SG,38,12,11,15,50:46,4,47
14,Toulouse,38,12,11,15,36:36,0,47
15,OGC Nice,38,11,11,16,41:57,-16,44
16,FC Sochaux,38,11,8,19,28:52,-24,41
17,Saint-Étienne,38,10,10,18,27:45,-18,40
18,Le Mans UC 72,38,8,8,22,36:59,-23,32
19,US Boulogne,38,7,10,21,31:62,-31,31
20,Grenoble,38,5,8,25,31:61,-30,23
