Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Monaco,38,23,10,5,69:30,39,79
2,Paris SG,38,18,13,7,57:31,26,67
3,FC Nantes,38,16,16,6,61:32,29,64
4,G. Bordeaux,38,16,15,7,59:42,17,63
5,FC Metz,38,17,11,10,40:30,10,62
6,AJ Auxerre,38,17,10,11,49:32,17,61
7,SC Bastia,38,17,10,11,54:47,7,61
8,Olympique Lyon,38,16,12,10,59:50,9,60
9,R. Strasbourg,38,19,3,16,52:49,3,60
10,Montpellier,38,12,15,11,40:40,0,51
11,Marseille,38,12,13,13,43:48,-5,49
12,Guingamp,38,11,13,14,32:36,-4,46
13,Lens,38,12,9,17,40:52,-12,45
14,AC Le Havre,38,10,13,15,34:43,-9,43
15,Cannes,38,9,14,15,25:41,-16,41
16,Stade Rennais,38,10,10,18,40:58,-18,40
17,SM Caen,38,7,16,15,35:46,-11,37
18,AS Nancy,38,9,10,19,33:51,-18,37
19,LOSC Lille,38,8,11,19,32:58,-26,35
20,OGC Nice,38,5,8,25,30:68,-38,23
