Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Bayern Munich ,34,19,6,9,62:37,25,63
2,FC Schalke 04,34,18,8,8,65:35,30,62
3,Bor. Dortmund,34,16,10,8,62:42,20,58
4,Bay. Leverkusen,34,17,6,11,54:40,14,57
5,Hertha BSC,34,18,2,14,58:52,6,56
6,SC Freiburg,34,15,10,9,54:37,17,55
7,Werder Bremen,34,15,8,11,53:48,5,53
8,1.FC K'lautern,34,15,5,14,49:54,-5,50
9,VfL Wolfsburg,34,12,11,11,60:45,15,47
10,1. FC Köln,34,12,10,12,59:52,7,46
11,1860 Munich,34,12,8,14,43:55,-12,44
12,Hansa Rostock,34,12,7,15,34:47,-13,43
13,Hamburger SV,34,10,11,13,58:58,0,41
14,Energie Cottbus,34,12,3,19,38:52,-14,39
15,VfB Stuttgart,34,9,11,14,42:49,-7,38
16,Unterhaching,34,8,11,15,35:59,-24,35
17,E. Frankfurt,34,10,5,19,41:68,-27,35
18,VfL Bochum,34,7,6,21,30:67,-37,27
