Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Bayern Munich ,34,19,11,4,64:28,36,49:19
2,1. FC Köln,34,17,9,8,54:44,10,43:25
3,E. Frankfurt,34,15,11,8,61:40,21,41:27
4,Bor. Dortmund,34,15,11,8,51:35,16,41:27
5,Bay. Leverkusen,34,12,15,7,40:32,8,39:29
6,VfB Stuttgart,34,15,6,13,53:47,6,36:32
7,Werder Bremen,34,10,14,10,49:41,8,34:34
8,1.FC Nuremberg,34,11,11,12,42:46,-4,33:35
9,F. Düsseldorf,34,10,12,12,41:41,0,32:36
10,Karlsruher SC,34,10,12,12,32:39,-7,32:36
11,Hamburger SV,34,13,5,16,39:46,-7,31:37
12,1.FC K'lautern,34,10,11,13,42:55,-13,31:37
13,FC St. Pauli,34,9,13,12,31:46,-15,31:37
14,Bay. Uerdingen,34,10,10,14,41:48,-7,30:38
15,Bor. M'gladbach,34,11,8,15,37:45,-8,30:38
16,VfL Bochum,34,11,7,16,44:53,-9,29:39
17,Waldh. Mannheim,34,10,6,18,36:53,-17,26:42
18,FC 08 Homburg,34,8,8,18,33:51,-18,24:44
