Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Bayern Munich ,34,17,10,7,68:37,31,44:24
2,1.FC K'lautern,34,18,7,9,64:36,28,43:25
3,Bay. Leverkusen,34,14,11,9,60:47,13,39:29
4,Bor. Dortmund,34,15,9,10,49:45,4,39:29
5,E. Frankfurt,34,15,8,11,57:41,16,38:30
6,Karlsruher SC,34,14,10,10,46:43,3,38:30
7,VfB Stuttgart,34,13,11,10,51:43,8,37:31
8,Werder Bremen,34,13,10,11,51:44,7,36:32
9,MSV Duisburg,34,14,8,12,41:52,-11,36:32
10,Bor. M'gladbach,34,14,7,13,65:59,6,35:33
11,1. FC Köln,34,14,6,14,49:51,-2,34:34
12,Hamburger SV,34,13,8,13,48:52,-4,34:34
13,Dynamo Dresden,34,10,14,10,33:44,-11,30:30
14,FC Schalke 04,34,10,9,15,38:50,-12,29:39
15,SC Freiburg,34,10,8,16,54:57,-3,28:40
16,1.FC Nuremberg,34,10,8,16,41:55,-14,28:40
17,Wattenscheid 09,34,6,11,17,48:70,-22,23:45
18,VfB Leipzig,34,3,11,20,32:69,-37,17:51
