Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Bayern Munich ,34,24,6,4,76:28,48,78
2,Bay. Leverkusen,34,17,12,5,61:30,31,63
3,Hertha BSC,34,18,8,8,59:32,27,62
4,Bor. Dortmund,34,16,9,9,48:34,14,57
5,1.FC K'lautern,34,17,6,11,51:47,4,57
6,VfL Wolfsburg,34,15,10,9,54:49,5,55
7,Hamburger SV,34,13,11,10,47:46,1,50
8,MSV Duisburg,34,13,10,11,48:45,3,49
9,1860 Munich,34,11,8,15,49:56,-7,41
10,FC Schalke 04,34,10,11,13,41:54,-13,41
11,VfB Stuttgart,34,9,12,13,41:48,-7,39
12,SC Freiburg,34,10,9,15,36:44,-8,39
13,Werder Bremen,34,10,8,16,41:47,-6,38
14,Hansa Rostock,34,9,11,14,49:58,-9,38
15,E. Frankfurt,34,9,10,15,44:54,-10,37
16,1.FC Nuremberg,34,7,16,11,40:50,-10,37
17,VfL Bochum,34,7,8,19,40:65,-25,29
18,Bor. M'gladbach,34,4,9,21,41:79,-38,21
