Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Bayern Munich ,34,20,9,5,95:53,42,49:19
2,Bor. M'gladbach,34,21,6,7,93:52,41,48:20
3,F. Düsseldorf,34,16,9,9,61:47,14,41:27
4,E. Frankfurt,34,15,11,8,63:50,13,41:27
5,1. FC Köln,34,16,7,11,69:56,13,39:29
6,1.FC K'lautern,34,15,8,11,80:69,11,38:30
7,FC Schalke 04,34,16,5,13,72:68,4,37:31
8,Hertha BSC,34,11,11,12,56:60,-4,33:35
9,VfB Stuttgart,34,12,7,15,58:57,1,31:37
10,K. Offenbach,34,11,9,14,56:62,-6,31:37
11,Werder Bremen,34,9,13,12,48:56,-8,31:37
12,Hamburger SV,34,13,5,16,53:62,-9,31:37
13,RW Essen,34,10,11,13,56:70,-14,31:37
14,VfL Bochum,34,9,12,13,45:57,-12,30:38
15,MSV Duisburg,34,11,7,16,42:56,-14,29:39
16,Wuppertaler SV,34,8,9,17,42:65,-23,25:43
17,SC Fortuna Köln,34,8,9,17,46:79,-33,25:43
18,Hannover 96,34,6,10,18,50:66,-16,22:46
