Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Bayern Munich ,34,29,3,2,94:23,71,90
2,Bor. Dortmund,34,22,5,7,80:38,42,71
3,FC Schalke 04,34,19,7,8,63:43,20,64
4,Bay. Leverkusen,34,19,4,11,60:41,19,61
5,VfL Wolfsburg,34,18,6,10,63:50,13,60
6,Bor. M'gladbach,34,16,7,11,59:43,16,55
7,1.FSV Mainz 05,34,16,5,13,52:54,-2,53
8,FC Augsburg,34,15,7,12,47:47,0,52
9,TSG Hoffenheim,34,11,11,12,72:70,2,44
10,Hannover 96,34,12,6,16,46:59,-13,42
11,Hertha BSC,34,11,8,15,40:48,-8,41
12,Werder Bremen,34,10,9,15,42:66,-24,39
13,E. Frankfurt,34,9,9,16,40:57,-17,36
14,SC Freiburg,34,9,9,16,43:61,-18,36
15,VfB Stuttgart,34,8,8,18,49:62,-13,32
16,Hamburger SV,34,7,6,21,51:75,-24,27
17,1.FC Nuremberg,34,5,11,18,37:70,-33,26
18,E. Braunschweig,34,6,7,21,29:60,-31,25
