Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Bor. Dortmund,34,21,7,6,62:33,29,70
2,Bay. Leverkusen,34,21,6,7,77:38,39,69
3,Bayern Munich ,34,20,8,6,65:25,40,68
4,Hertha BSC,34,18,7,9,61:38,23,61
5,FC Schalke 04,34,18,7,9,52:36,16,61
6,Werder Bremen,34,17,5,12,54:43,11,56
7,1.FC K'lautern,34,17,5,12,62:53,9,56
8,VfB Stuttgart,34,13,11,10,47:43,4,50
9,1860 Munich,34,15,5,14,59:59,0,50
10,VfL Wolfsburg,34,13,7,14,57:49,8,46
11,Hamburger SV,34,10,10,14,51:57,-6,40
12,Bor. M'gladbach,34,9,12,13,41:53,-12,39
13,Energie Cottbus,34,9,8,17,36:60,-24,35
14,Hansa Rostock,34,9,7,18,35:54,-19,34
15,1.FC Nuremberg,34,10,4,20,34:57,-23,34
16,SC Freiburg,34,7,9,18,37:64,-27,30
17,1. FC Köln,34,7,8,19,26:61,-35,29
18,FC St. Pauli,34,4,10,20,37:70,-33,22
