Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Bayern Munich ,34,22,7,5,73:28,45,73
2,Bay. Leverkusen,34,21,10,3,74:36,38,73
3,Hamburger SV,34,16,11,7,63:39,24,59
4,1860 Munich,34,14,11,9,55:48,7,53
5,1.FC K'lautern,34,15,5,14,54:59,-5,50
6,Hertha BSC,34,13,11,10,39:46,-7,50
7,VfL Wolfsburg,34,12,13,9,51:58,-7,49
8,VfB Stuttgart,34,14,6,14,44:47,-3,48
9,Werder Bremen,34,13,8,13,65:52,13,47
10,Unterhaching,34,12,8,14,40:42,-2,44
11,Bor. Dortmund,34,9,13,12,41:38,3,40
12,SC Freiburg,34,10,10,14,45:50,-5,40
13,FC Schalke 04,34,8,15,11,42:44,-2,39
14,E. Frankfurt,34,12,5,17,42:44,-2,39
15,Hansa Rostock,34,8,14,12,44:60,-16,38
16,SSV Ulm 1846,34,9,8,17,36:62,-26,35
17,Arm. Bielefeld,34,7,9,18,40:61,-21,30
18,MSV Duisburg,34,4,10,20,37:71,-34,22
