pos,team,pld,pts
1,JUVENTUS,38,91
2,NAPOLI,38,82
3,ROMA,38,80
4,INTER,38,67
5,FIORENTINA,38,64
6,SASSUOLO,38,61
7,MILAN,38,57
8,LAZIO,38,54
9,CHIEVOVERONA,38,50
10,EMPOLI,38,46
11,GENOA,38,46
12,TORINO,38,45
13,ATALANTA,38,45
14,BOLOGNA,38,42
15,SAMPDORIA,38,40
16,PALERMO,38,39
17,UDINESE,38,39
18,CARPI,38,38
19,FROSINONE,38,31
20,HELLAS VERONA,38,28
