Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,38,30,5,3,86:24,62,95
2 ,SSC Napoli,38,28,7,3,77:29,48,91
3 ,AS Roma,38,23,8,7,61:28,33,77
4 ,Inter,38,20,12,6,66:30,36,72
5 ,Lazio,38,21,9,8,89:49,40,72
6 ,AC Milan,38,18,10,10,56:42,14,64
7 ,Atalanta,38,16,12,10,57:39,18,60
8 ,Fiorentina,38,16,9,13,54:46,8,57
9 ,Sampdoria,38,16,6,16,56:60,-4,54
10 ,Torino,38,13,15,10,54:46,8,54
11 ,Sassuolo,38,11,10,17,29:59,-30,43
12 ,Genoa,38,11,8,19,33:43,-10,41
13 ,Chievo Verona,38,10,10,18,36:59,-23,40
14 ,Udinese Calcio,38,12,4,22,48:63,-15,40
15 ,Cagliari Calcio,38,11,6,21,33:61,-28,39
16 ,Bologna,38,11,6,21,40:52,-12,39
17 ,SPAL,38,8,14,16,39:59,-20,38
18 ,Crotone,38,9,8,21,40:66,-26,35
19 ,Hellas Verona,38,7,4,27,30:78,-48,25
20 ,Benevento,38,6,3,29,33:84,-51,21
