Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,38,27,6,5,71:24,47,87
2 ,SSC Napoli,38,23,9,6,73:36,37,78
3 ,AC Milan,38,21,9,8,67:39,28,72
4 ,Fiorentina,38,21,7,10,72:44,28,70
5 ,Udinese Calcio,38,18,12,8,59:45,14,66
6 ,AS Roma,38,18,8,12,71:56,15,62
7 ,Lazio,38,18,7,13,51:42,9,61
8 ,Catania,38,15,11,12,50:46,4,56
9 ,Inter,38,16,6,16,55:57,-2,54
10 ,Parma,38,13,10,15,45:46,-1,49
11 ,Cagliari Calcio,38,12,11,15,43:55,-12,47
12 ,Chievo Verona,38,12,9,17,37:52,-15,45
13 ,Bologna,38,11,11,16,46:52,-6,44
14 ,Sampdoria,38,11,10,17,43:51,-8,42
15 ,Atalanta,38,11,9,18,39:56,-17,40
16 ,Torino,38,8,16,14,46:55,-9,39
17 ,Genoa,38,8,14,16,38:52,-14,38
18 ,US Palermo,38,6,14,18,34:54,-20,32
19 ,Siena,38,9,9,20,36:57,-21,30
20 ,Pescara,38,6,4,28,27:84,-57,22
