Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,38,26,9,3,72:24,48,87
2 ,AS Roma,38,19,13,6,54:31,23,70
3 ,Lazio,38,21,6,11,71:38,33,69
4 ,Fiorentina,38,18,10,10,61:46,15,64
5 ,SSC Napoli,38,18,9,11,70:54,16,63
6 ,Genoa,38,16,11,11,62:47,15,59
7 ,Sampdoria,38,13,17,8,48:42,6,56
8 ,Inter,38,14,13,11,59:48,11,55
9 ,Torino,38,14,12,12,48:45,3,54
10 ,AC Milan,38,13,13,12,56:50,6,52
11 ,US Palermo,38,12,13,13,53:55,-2,49
12 ,Sassuolo,38,12,13,13,49:57,-8,49
13 ,Hellas Verona,38,11,13,14,49:65,-16,46
14 ,Chievo Verona,38,10,13,15,28:41,-13,43
15 ,FC Empoli,38,8,18,12,46:52,-6,42
16 ,Udinese Calcio,38,10,11,17,43:56,-13,41
17 ,Atalanta,38,7,16,15,38:57,-19,37
18 ,Cagliari Calcio,38,8,10,20,48:68,-20,34
19 ,Cesena,38,4,12,22,36:73,-37,24
20 ,Parma,38,6,8,24,33:75,-42,19
