Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,11,9,2,0,19:9,10,29
2 ,Inter,11,9,1,1,24:11,13,28
3 ,AS Roma,11,6,4,1,20:12,8,22
4 ,Lazio,11,6,3,2,24:11,13,21
5 ,Atalanta,11,6,3,2,30:18,12,21
6 ,Cagliari Calcio,11,6,3,2,18:10,8,21
7 ,SSC Napoli,11,5,3,3,21:15,6,18
8 ,Fiorentina,11,4,4,3,16:14,2,16
9 ,Hellas Verona,11,4,3,4,9:9,0,15
10 ,Parma,11,4,2,5,16:15,1,14
11 ,AC Milan,11,4,1,6,11:15,-4,13
12 ,Udinese Calcio,11,4,1,6,8:18,-10,13
13 ,Bologna,11,3,3,5,15:17,-2,12
14 ,Torino,11,3,2,6,11:17,-6,11
15 ,Sassuolo,10,3,1,6,18:20,-2,10
16 ,Lecce,11,2,4,5,13:21,-8,10
17 ,Genoa,11,2,2,7,14:26,-12,8
18 ,Sampdoria,11,2,2,7,7:19,-12,8
19 ,Brescia,10,2,1,7,10:16,-6,7
20 ,SPAL,11,2,1,8,7:18,-11,7
