Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,38,23,15,0,68:20,48,84
2 ,AC Milan,38,24,8,6,74:33,41,80
3 ,Udinese Calcio,38,18,10,10,52:35,17,64
4 ,Lazio,38,18,8,12,56:47,9,62
5 ,SSC Napoli,38,16,13,9,66:46,20,61
6 ,Inter,38,17,7,14,58:55,3,58
7 ,AS Roma,38,16,8,14,60:54,6,56
8 ,Parma,38,15,11,12,54:53,1,56
9 ,Bologna,38,13,12,13,41:43,-2,51
10 ,Chievo Verona,38,12,13,13,35:45,-10,49
11 ,Catania,38,11,15,12,47:52,-5,48
12 ,Atalanta,38,13,13,12,41:43,-2,46
13 ,Fiorentina,38,11,13,14,37:43,-6,46
14 ,Siena,38,11,11,16,45:45,0,44
15 ,Cagliari Calcio,38,10,13,15,37:46,-9,43
16 ,US Palermo,38,11,10,17,52:62,-10,43
17 ,Genoa,38,11,9,18,50:69,-19,42
18 ,Lecce,38,8,12,18,40:56,-16,36
19 ,Novara,38,7,11,20,35:65,-30,32
20 ,Cesena,38,4,10,24,24:60,-36,22
