Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Chelsea,38,29,4,5,72:22,50,91
2,Man Utd,38,25,8,5,72:34,38,83
3,Liverpool,38,25,7,6,57:25,32,82
4,Arsenal,38,20,7,11,68:31,37,67
5,Spurs,38,18,11,9,53:38,15,65
6,Blackburn,38,19,6,13,51:42,9,63
7,Newcastle,38,17,7,14,47:42,5,58
8,Bolton,38,15,11,12,49:41,8,56
9,West Ham,38,16,7,15,52:55,-3,55
10,Wigan,38,15,6,17,45:52,-7,51
11,Everton,38,14,8,16,34:49,-15,50
12,Fulham,38,14,6,18,48:58,-10,48
13,Charlton,38,13,8,17,41:55,-14,47
14,Middlesbrough,38,12,9,17,48:58,-10,45
15,Man City,38,13,4,21,43:48,-5,43
16,Aston Villa,38,10,12,16,42:55,-13,42
17,Portsmouth,38,10,8,20,37:62,-25,38
18,Birmingham,38,8,10,20,28:50,-22,34
19,West Brom,38,7,9,22,31:58,-27,30
20,Sunderland,38,3,6,29,26:69,-43,15
