Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Man Utd,38,21,12,5,76:44,32,75
2,Newcastle,38,19,11,8,73:40,33,68
3,Arsenal,38,19,11,8,62:32,30,68
4,Liverpool,38,19,11,8,62:37,25,68
5,Aston Villa,38,17,10,11,47:34,13,61
6,Chelsea,38,16,11,11,58:55,3,59
7,Sheff Wed,38,14,15,9,50:51,-1,57
8,Wimbledon FC,38,15,11,12,49:46,3,56
9,Leicester,38,12,11,15,46:54,-8,47
10,Spurs,38,13,7,18,44:51,-7,46
11,Leeds,38,11,13,14,28:38,-10,46
12,Derby,38,11,13,14,45:58,-13,46
13,Blackburn,38,9,15,14,42:43,-1,42
14,West Ham,38,10,12,16,39:48,-9,42
15,Everton,38,10,12,16,44:57,-13,42
16,Southampton,38,10,11,17,50:56,-6,41
17,Coventry,38,9,14,15,38:54,-16,41
18,Sunderland,38,10,10,18,35:53,-18,40
19,Middlesbrough,38,10,12,16,51:60,-9,39
20,Nottm Forest,38,6,16,16,31:59,-28,34
