Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Man Utd,38,22,13,3,80:37,43,79
2,Arsenal,38,22,12,4,59:17,42,78
3,Chelsea,38,20,15,3,57:30,27,75
4,Leeds,38,18,13,7,62:34,28,67
5,West Ham,38,16,9,13,46:53,-7,57
6,Aston Villa,38,15,10,13,51:46,5,55
7,Liverpool,38,15,9,14,68:49,19,54
8,Derby,38,13,13,12,40:45,-5,52
9,Middlesbrough,38,12,15,11,48:54,-6,51
10,Leicester,38,12,13,13,40:46,-6,49
11,Spurs,38,11,14,13,47:50,-3,47
12,Sheff Wed,38,13,7,18,41:42,-1,46
13,Newcastle,38,11,13,14,48:54,-6,46
14,Everton,38,11,10,17,42:47,-5,43
15,Coventry,38,11,9,18,39:51,-12,42
16,Wimbledon FC,38,10,12,16,40:63,-23,42
17,Southampton,38,11,8,19,37:64,-27,41
18,Charlton,38,8,12,18,41:56,-15,36
19,Blackburn,38,7,14,17,38:52,-14,35
20,Nottm Forest,38,7,9,22,35:69,-34,30
