Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Man Utd,38,25,8,5,74:34,40,83
2,Arsenal,38,23,9,6,85:42,43,78
3,Newcastle,38,21,6,11,63:48,15,69
4,Chelsea,38,19,10,9,68:38,30,67
5,Liverpool,38,18,10,10,61:41,20,64
6,Blackburn,38,16,12,10,52:43,9,60
7,Everton,38,17,8,13,48:49,-1,59
8,Southampton,38,13,13,12,43:46,-3,52
9,Man City,38,15,6,17,47:54,-7,51
10,Spurs,38,14,8,16,51:62,-11,50
11,Middlesbrough,38,13,10,15,48:44,4,49
12,Charlton,38,14,7,17,45:56,-11,49
13,Birmingham,38,13,9,16,41:49,-8,48
14,Fulham,38,13,9,16,41:50,-9,48
15,Leeds,38,14,5,19,58:57,1,47
16,Aston Villa,38,12,9,17,42:47,-5,45
17,Bolton,38,10,14,14,41:51,-10,44
18,West Ham,38,10,12,16,42:59,-17,42
19,West Brom,38,6,8,24,29:65,-36,26
20,Sunderland,38,4,7,27,21:65,-44,19
