Name,Position,DOB,Nationality,Kit Number
Roman Bürki,Goalkeeper,"Nov 14, 1990 (28)",Switzerland,1
Marwin Hitz,Goalkeeper,"Sep 18, 1987 (32)",Switzerland,35
Luca Unbehaun,Goalkeeper,"Feb 27, 2001 (18)",Germany,25
Eric Oelschlägel,Goalkeeper,"Sep 20, 1995 (24)",Germany,40
Manuel Akanji,Centre-Back,"Jul 19, 1995 (24)",Switzerland,16
Mats Hummels,Centre-Back,"Dec 16, 1988 (30)",Germany,15
Dan-Axel Zagadou,Centre-Back,"Jun 3, 1999 (20)",France,2
Leonardo Balerdi,Centre-Back,"Jan 26, 1999 (20)",Argentina,18
Nico Schulz,Left-Back,"Apr 1, 1993 (26)",Germany,14
Marcel Schmelzer,Left-Back,"Jan 22, 1988 (31)",Germany,29
Achraf Hakimi,Right-Back,"Nov 4, 1998 (21)",Morocco,5
Lukasz Piszczek,Right-Back,"Jun 3, 1985 (34)",Poland,26
Mateu Morey,Right-Back,"Mar 2, 2000 (19)",Spain,22
Axel Witsel,Defensive Midfield,"Jan 12, 1989 (30)",Belgium,28
Julian Weigl,Defensive Midfield,"Sep 8, 1995 (24)",Germany,33
Tobias Raschl,Defensive Midfield,"Feb 21, 2000 (19)",Germany,37
Thomas Delaney,Central Midfield,"Sep 3, 1991 (28)",Denmark,6
Mahmoud Dahoud,Central Midfield,"Jan 1, 1996 (23)",Germany,8
Raphaël Guerreiro,Left Midfield,"Dec 22, 1993 (25)",Portugal,13
Marco Reus,Attacking Midfield,"May 31, 1989 (30)",Germany,11
Julian Brandt,Left Winger,"May 2, 1996 (23)",Germany,19
Thorgan Hazard,Left Winger,"Mar 29, 1993 (26)",Belgium,23
Jacob Bruun Larsen,Left Winger,"Sep 19, 1998 (21)",Denmark,34
Jadon Sancho,Right Winger,"Mar 25, 2000 (19)",England,7
Paco Alcácer,Centre-Forward,"Aug 30, 1993 (26)",Spain,9
Mario Götze,Centre-Forward,"Jun 3, 1992 (27)",Germany,10
