Name,Position,DOB,Nationality,Kit Number
Thomas Strakosha,Goalkeeper,"Mar 19, 1995 (24)",Albania,1
Ivan Vargic,Goalkeeper,"Mar 15, 1987 (32)",Croatia,-
Silvio Proto,Goalkeeper,"May 23, 1983 (36)",Belgium,24
Guido Guerrieri,Goalkeeper,"Feb 25, 1996 (23)",Italy,23
Francesco Acerbi,Centre-Back,"Feb 10, 1988 (31)",Italy,33
Luiz Felipe,Centre-Back,"Mar 22, 1997 (22)",Brazil,3
Denis Vavro,Centre-Back,"Apr 10, 1996 (23)",Slovakia,93
Stefan Radu,Centre-Back,"Oct 22, 1986 (33)",Romania,26
Bastos,Centre-Back,"Mar 27, 1991 (28)",Angola,15
Nicolò Armini,Centre-Back,"Mar 7, 2001 (18)",Italy,13
Jorge Silva,Centre-Back,"Feb 4, 1999 (20)",Portugal,49
Jordan Lukaku,Left-Back,"Jul 25, 1994 (25)",Belgium,5
Riza Durmisi,Left-Back,"Jan 8, 1994 (25)",Denmark,14
Patric,Right-Back,"Apr 17, 1993 (26)",Spain,4
Tiago Casasola,Right-Back,"Aug 11, 1995 (24)",Argentina,27
Lucas Leiva,Defensive Midfield,"Jan 9, 1987 (32)",Brazil,6
Sergej Milinkovic-Savic,Central Midfield,"Feb 27, 1995 (24)",Serbia,21
Valon Berisha,Central Midfield,"Feb 7, 1993 (26)",Kosovo,7
Danilo Cataldi,Central Midfield,"Aug 6, 1994 (25)",Italy,32
Marco Parolo,Central Midfield,"Jan 25, 1985 (34)",Italy,16
Manuel Lazzari,Right Midfield,"Nov 29, 1993 (25)",Italy,29
Adam Marusic,Right Midfield,"Oct 17, 1992 (27)",Montenegro,77
Djavan Anderson,Right Midfield,"Apr 21, 1995 (24)",Netherlands,-
Senad Lulic,Left Midfield,"Jan 18, 1986 (33)",Bosnia-Herzegovina,19
Luis Alberto,Attacking Midfield,"Sep 28, 1992 (27)",Spain,10
André Anderson,Attacking Midfield,"Sep 23, 1999 (20)",Italy,28
Jony,Left Winger,"Jul 9, 1991 (28)",Spain,22
Ricardo Kishna,Left Winger,"Jan 4, 1995 (24)",Netherlands,-
Bobby Adekanye,Right Winger,"Feb 14, 1999 (20)",Netherlands,34
Joaquín Correa,Second Striker,"Aug 13, 1994 (25)",Argentina,11
Ciro Immobile,Centre-Forward,"Feb 20, 1990 (29)",Italy,17
Felipe Caicedo,Centre-Forward,"Sep 5, 1988 (31)",Ecuador,20
